class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,39468,na,182,156,0,0,0,0,0,0,54956,1127796,1435320,283126,17980,1392,1281568,0,0,0,208,434,2707802,2430850,480542,216754,0,0,0,0,260,64,0,0,0,0,0,105826,1262932,680440,871372,0,1796,604,996,35842,1422046,1453082,6204,0,0,0,1109486,744918,323584,240044,194702,165704,101324,37724,3084,0,3189146,100,668,542,30,1281568,32148,311246,168550,152720,210520,na,na,na,na,na,na,111760,39467.78,3189146,3189146,3157512,15246,2960,73362,763560,2920570,1209600,87602,2,90,0,2533229.76,0,385324.8,0,0,0,0,5616,466540,1323820,953064,161968,8444,1108,10,4,12,3189146,na,3966,488,44686,200186,143282,2134294,362988,30106,568,6,212,208,2512984,100492,0,63572,0,16,2583462,1824,228,0,0,0,0,0,0,0,0,16530,36644,7002,0,0,103226,14676,166920,23054,0,0,0,0,1107420,1160.82,1226,410960,587930,580416,313818,529932,360528,91444,26728,18622,192,0,0
neg,40352,na,428,412,0,0,0,0,0,0,6314,468866,1814328,400354,29162,2832,1286894,0,0,0,876,1196,2401518,2060616,593026,294940,0,0,510,0,2348,292,0,0,0,0,0,96328,1213570,1175374,236584,0,2306,1628,2636,285248,1935736,494048,254,0,0,0,693306,781062,362872,243062,193564,163790,178226,105972,2,0,2995826,478,252,1024,6,1286894,32148,323922,266724,217360,248100,na,na,na,na,na,na,122960,40352.9,2995826,2995826,2992638,18303.0,17196,54062,571980,2721856,1209600,78632,0,102,0,2399632.32,0,319955.52,0,0,0,0,1986,135150,880500,1434044,246518,20088,3376,194,98,112,2995826,na,3814,540,129232,144596,215692,1960238,257984,9662,98,0,516,1070,2168690,268934,0,686,0,40,2413020,2088,148,0,0,0,0,0,0,0,0,16924,27740,4354,0,0,43408,9256,1228040,209932,620370,834,0,0,352910,815.76,1118,334528,614832,322816,191896,399932,355002,238582,114630,137664,11974,0,0
neg,44370,na,842,758,0,0,0,0,0,15476,824294,2202942,940850,114786,1290,0,1717792,0,0,0,17282,25828,3391204,2823752,1006430,530724,0,0,0,0,686,2096,0,0,0,0,0,0,0,1762008,2337630,0,2604,580,724,1148,336254,3758328,0,0,0,0,1512678,1749264,419928,148742,70608,46542,38578,42354,58278,12666,4415170,3716,2714,1048,0,1717792,56590,354500,651330,299380,260640,284800,na,na,na,na,na,157580,44369.13,4415170,4415170,4421306,13768,326,75578,782400,4099638,1209600,158966,8,140,0,3067921.92,201274.56,826680,0,592,0,1418,130920,1785214,1523028,614096,39432,4840,690,0,20,38,4415170,na,4182,732,500112,599246,176120,2129858,664842,24486,60,0,482,4246,3050198,743122,0,12726,0,0,3111480,5326,190,0,0,1530,202134,0,0,0,0,26902,23676,2628,8185128,848420,151542,16408,436740,45690,4271142,66866,0,0,4369140,1125.34,1272,1060064,1012776,516156,251066,673860,102486,308198,174640,392,0,0,0
neg,14,na,26,26,0,0,0,0,0,0,112,6568,3876,0,0,0,4194,0,0,0,0,0,9006,4384,8574,1646,0,0,0,0,26,16,0,0,0,0,0,0,6520,0,4036,0,142,26,40,26,1158,9162,2,0,0,0,9842,612,80,12,4,6,0,0,0,0,17638,0,4,0,0,4194,260,3230,5266,na,na,na,na,na,na,na,na,8360,14.69,17638,17638,20250,15.0,0,1524,17400,10556,1209600,600,2,10,0,3964.8,0,6509.76,0,0,0,0,0,5302,5076,178,0,0,0,0,0,6,17638,na,150,24,18,28,36,1218,7496,1494,92,0,52,68,4864,48,0,0,0,38,4938,80,68,0,0,0,0,0,0,0,0,252,0,0,0,0,142,30,220,140,10090,12,0,0,0,71.48,70,7140,3324,92,0,0,0,0,0,0,0,0,0
neg,8,0,4,4,0,0,0,0,0,0,6,3024,2700,0,0,0,1000,0,0,0,0,0,8942,6816,14030,662,0,0,0,0,12,2,0,0,0,0,0,0,0,1096,4634,0,52,4,82,962,154,1276,3200,0,0,0,4516,208,54,26,152,106,438,54,10,166,22996,0,4,0,0,1000,140,11544,2394,na,na,na,na,na,na,na,na,13780,7.65,22996,22996,24258,25.0,0,2214,22780,5770,1209600,210,2,2,0,1372.8,13.44,3220.8,0,8,0,0,0,2856,1816,392,666,0,0,0,0,0,22996,0,1202,8,10,4,6,1370,2598,526,6,0,4,0,1620,108,0,0,0,0,1630,46,198,0,0,10,20,0,0,0,0,184,0,0,0,0,58,12,2200,214,1880,4,0,0,0,0.68,34,4558,1042,22,12,8,18,54,16,0,0,0,0
neg,10546,na,168,na,0,0,0,0,0,0,280,193074,408042,74532,1588,0,338014,0,318,0,0,0,648266,584736,114266,40780,0,0,0,0,192,16,0,0,0,0,0,21132,318536,205986,131862,0,2792,204,240,282,364,673430,202,2,0,0,228522,161482,85186,50974,47396,76242,27714,0,0,0,762746,0,22,86,76,338014,8500,69612,43952,na,na,na,na,na,na,na,na,112060,10546.08,762746,762746,762926,2924,308834,73364,760220,677516,1209600,0,na,na,na,556216.32,0,117446.4,0,232,0,0,0,35738,271432,291646,67390,9034,2128,148,na,0,762746,na,3528,164,514,45372,43502,321554,257824,5056,2,0,na,na,na,na,na,na,na,na,na,568,48,0,0,0,0,0,0,0,0,4660,6644,1476,0,0,21056,3058,695640,258532,0,0,0,0,9546370,425.5,446,125274,107564,63020,31794,82518,55942,50404,43598,110588,6814,0,0
neg,44,0,86,64,0,0,0,0,5414,6856,21182,14984,1334,0,0,0,13754,0,0,0,8026,15902,33614,30666,22704,3214,2,0,0,0,206,94,0,0,0,0,0,0,0,32106,17664,0,1308,10,30,72,78,9348,31608,6170,1146,0,44538,2618,772,640,254,110,536,114,32,156,64466,0,6,10,0,13754,524,7982,14488,na,na,na,na,na,na,na,na,22120,44.11,64466,64466,63464,97.0,14,5914,63700,49898,1209600,1690,20,16,0,12788.16,0,35917.44,0,24,4144,6680,21830,14090,2570,438,18,0,0,0,0,10,64466,0,1416,36,64,5294,10054,7362,23510,1950,82,2,176,198,10520,38,0,0,0,0,14484,374,84,0,0,0,0,0,0,0,0,828,0,0,6014,1370,446,124,3280,388,0,146,0,0,0,216.78,154,38384,7740,1962,510,666,266,150,92,0,0,0,0
neg,42446,na,2130706436,730,0,0,0,0,0,0,17528,890122,1502740,293612,6004,0,1196050,0,0,0,0,0,2410438,2081020,441212,280058,0,0,0,0,480,768,0,0,0,0,0,22334,860726,321700,1505246,0,1918,840,986,18256,1099616,1557754,30636,0,0,0,770422,960078,360916,168892,139030,168826,141842,0,0,0,2852182,0,8,478,6,1196050,32230,235614,202390,147920,239840,na,na,na,na,na,na,47740,42446.51,2852182,2852182,2855008,14561.0,2172,39468,426800,2710006,1209600,73052,2,80,0,2428999.68,0,279091.2,0,0,0,0,8,238704,1264314,893598,288660,19810,4368,544,2,6,2852182,na,4060,466,39688,143230,58562,1844082,590808,28812,298,0,858,1168,2417840,347372,0,9592,0,36,2441794,1582,320,0,0,0,0,0,0,0,0,18310,32986,16124,0,0,43042,7746,13382100,1351718,0,0,0,0,2446510,1199.6,1198,297520,337772,277452,193644,1482444,111892,7278,1702,302,0,0,0
neg,6748,na,2130706438,82,0,0,0,0,0,0,210,66222,248814,64468,290,0,164764,0,0,0,0,0,366238,337020,40368,23696,0,0,0,0,40,22,0,1216,5882,5104,9300,14872,124968,110112,108550,0,234,90,110,134,12170,367256,10,0,0,0,135064,208762,26616,6644,1824,612,398,84,0,0,406660,14,194,150,0,164764,3610,19184,21126,na,na,na,na,na,na,na,na,39900,6747.9,406660,406660,408812,1359.0,0,40298,406060,380004,1209600,7280,2,8,0,343893.12,0,35844.48,0,36,0,0,0,27474,172700,171214,7790,746,80,0,8,16,406660,na,372,70,250,28860,7524,292622,48692,1604,10,0,116,48,344430,149800,3014,12,0,12,344494,290,32,0,0,0,0,0,0,0,0,1938,2256,658,0,0,6770,1192,2701060,270090,5368,392,0,0,5747910,134.4,140,38060,28146,21892,19326,78790,175826,11224,5924,816,0,0,0
neg,43212,na,366,334,0,0,0,0,0,0,266,60024,2185620,759810,33276,60,1237546,0,0,0,0,0,2812126,2394158,1365236,329350,0,0,0,0,718,220,0,0,0,0,0,128,1189734,1771264,77930,0,4608,5770,14730,401122,2472256,140568,2,0,0,0,994194,770784,297166,223606,167864,137340,184982,263120,0,0,4178126,320,860,1028,40,1237546,32498,1091224,269916,473680,333240,364140,na,na,na,na,na,186360,43212.42,4178126,4178126,4177202,19849.0,4886,50158,541020,3039056,1209600,95938,2,118,0,2645979.84,2.88,390600,0,0,0,0,0,304,497368,1826700,666034,39400,8716,534,2,6,4178126,na,5814,870,87400,231616,135444,1934298,621546,21834,232,2,472,580,2061232,75050,0,152,0,26,2675256,2610,246,0,0,0,18,0,0,0,0,21218,31766,13364,0,0,61044,10250,16986940,1792448,0,0,0,0,3522040,1901.28,1716,412210,662744,468350,230232,447590,349822,198608,94116,171702,3682,0,0
neg,38810,na,380,340,0,0,0,0,0,0,1102,31334,1535202,732626,17394,830,1192618,0,76,0,0,0,2030048,1764288,386326,217434,0,0,0,0,1504,220,0,0,0,0,0,0,864188,1453186,1114,0,3850,1476,1428,93390,1500106,718104,134,0,0,0,822494,540664,233676,164176,121748,87314,101790,246614,12,0,2416940,242,418,234,2,1192618,33134,177740,205828,207100,na,na,na,na,na,na,na,173540,38810.45,2416940,2416940,2411740,15641.0,884,116816,1201680,2318488,1209600,60618,0,54,0,2090760.96,0,224794.56,0,0,0,0,0,2772,521012,1347524,422744,20224,3874,338,92,130,2416940,na,4788,496,35794,117186,122828,1753608,279146,4620,22,0,584,616,2038756,105138,26,472,0,0,2103346,1550,180,0,0,0,0,0,0,0,0,18550,18818,4208,0,0,64636,11684,73680,24000,0,0,0,0,413630,1128.36,1126,240000,358158,242562,126718,335162,401112,286424,154840,169776,3736,0,0
neg,31700,na,4868,4126,0,0,0,0,0,0,66450,1498484,2187028,614198,2928,0,1885222,0,0,0,0,0,3507370,2644398,990580,796158,0,0,34070,0,25132,814,0,0,0,0,0,0,101166,4266222,1700,0,4422,556,618,235018,3637516,490794,164,0,0,0,2038596,717890,332894,262566,220194,206170,285538,293344,11896,0,4498722,0,2114,178,0,1885222,75074,382870,606392,260240,271900,275440,na,na,na,na,na,175540,31700.91,4498722,4498722,4525526,27764,13298,81914,861840,4369088,1209600,172424,18,142,0,3390356.16,6.72,972592.32,0,0,0,0,0,16656,530402,2370742,1380502,63478,7242,66,128,136,4498722,na,6702,814,12618,580368,442780,2680974,637724,6890,218,0,8904,1726,3097392,34000,0,5214,0,24,3459992,6158,588,0,0,0,94,0,0,0,0,44550,9746,3126,0,0,143976,18776,1921780,224940,0,0,0,0,1700960,1722.92,1892,1008720,2191646,674688,223216,227050,43684,66,10,8,0,0,0
neg,40824,na,88,82,0,0,0,0,0,0,452,579126,1725560,425330,29450,208,1108422,0,0,0,0,0,2395244,2003746,529658,330912,0,0,0,0,200,46,0,0,0,0,0,117310,1583678,879162,179976,0,3232,1604,2528,54130,1788912,908108,1612,0,0,0,947058,637270,202080,159776,147712,152882,295208,218140,0,0,2925400,56,114,656,14,1108422,34276,309000,218442,195940,241720,na,na,na,na,na,na,86220,40824.46,2925400,2925400,2920586,18863.0,5332,46362,499580,2760126,1209600,91374,4,64,0,2421454.08,0,335499.84,0,0,0,0,0,71652,942894,1467888,257110,17676,2824,82,2,8,2925400,na,5106,492,51790,212162,102230,1706814,665900,15578,54,0,152,452,2322748,53912,0,23808,0,14,2444396,1780,292,0,0,0,0,0,0,0,0,20902,46914,8040,0,0,107780,17350,302360,55940,0,0,0,0,1685850,1344.96,1262,356930,559276,414016,241812,368484,257478,227288,148768,179174,6900,0,0
neg,101150,na,782,712,0,0,0,0,0,0,74140,1990042,3962240,639388,14634,0,2830898,0,0,0,0,0,5449214,4151540,1785224,1169592,0,0,770,0,736,172,0,0,0,0,0,98152,2976350,2181232,1424710,0,4716,1448,2694,180552,5119226,1370324,1484,0,0,0,2047194,1707128,686108,558106,518094,582314,581500,0,0,0,7235382,0,318,620,30,2830898,96834,824316,957468,316920,321900,313340,252080,260540,na,na,na,308640,101150.86,7235382,7235382,7222788,41670,27164,108672,1175300,6680444,1209600,190572,2,74,0,5673455.04,83744.64,918802.56,0,0,0,0,630,272552,2541466,3102910,686498,57506,16988,1894,2028,2038,7235382,na,10666,1344,170954,792758,256008,3271738,2151630,25262,84,0,1262,518,4299296,142236,0,116,0,26,5747204,5346,936,0,0,610,83966,0,0,0,0,63724,86738,33366,0,0,147468,27962,18002120,2993254,0,0,0,0,21150760,2311.68,2746,1072356,1279310,642106,340874,772146,705978,606700,456476,765926,38572,0,0
neg,40102,na,1960,1778,0,0,0,0,0,0,48990,2304536,2225600,434938,7004,0,2017754,0,130,342,0,0,4976780,4283136,2026686,560060,0,0,0,0,5926,1020,0,0,0,0,0,0,4901978,119090,0,0,5694,2456,3736,57520,3327088,1623218,1324,32,0,0,3091536,786682,366174,238418,234988,237018,66252,0,0,0,7004418,0,550,1454,20,2017754,83848,1432742,591968,308880,292800,442020,431820,269580,na,na,na,271540,40102.01,7004418,7004418,6977636,14449.0,77472,87650,944340,5021068,1209600,316234,0,520,0,3340684.8,0,1674581.76,0,0,0,0,0,409694,1977678,1996154,576712,46954,13066,810,7130,7180,7004418,na,9456,1104,26550,1330476,506932,2358782,765878,21886,4,0,2850,2052,3290652,208720,10,33488,0,0,3416360,8990,498,0,0,0,0,0,0,0,0,35474,18876,4104,0,0,179726,58758,95060,61562,0,0,0,0,102010,2469.3,2746,1799782,1613126,524352,142536,284284,259824,164600,175038,56946,580,0,0
neg,10,na,30,10,0,0,0,0,0,0,32,2964,1480,0,0,0,1274,0,0,0,0,0,3664,2650,10094,242,0,0,0,0,0,34,0,0,0,0,0,0,0,0,4476,0,902,12,14,18,96,3434,0,0,0,0,3342,416,82,206,34,18,272,106,0,0,13768,2,10,0,0,1274,102,9092,986,na,na,na,na,na,na,na,na,9960,10.76,13768,13768,15322,18,0,1326,13640,4476,1209600,182,0,4,0,1763.52,0,1859.52,0,12,0,0,0,2410,1444,438,184,0,0,0,0,4,13768,na,894,8,14,10,10,360,2462,716,2,0,34,58,1882,72,0,0,0,0,1988,28,30,0,0,0,0,0,0,0,0,88,0,0,974,130,38,10,120,12,6906,8,0,0,0,83.38,34,2830,1328,226,40,52,0,0,0,0,0,0,0
neg,38,na,8,8,0,0,0,0,0,0,44,8882,4122,0,0,0,4710,0,194,0,0,0,22766,19872,20316,258,0,0,0,0,4,10,0,0,0,0,0,0,0,10438,2610,0,888,76,96,90,1558,10340,0,0,0,0,11632,764,58,190,20,22,70,248,28,16,43102,0,2,2,0,4710,188,17858,2378,na,na,na,na,na,na,na,na,20120,37.69,43102,43102,43354,20,0,4170,42900,13048,1209600,360,0,0,0,3660.48,0,8546.88,na,na,0,0,0,3072,8332,1308,336,0,0,0,4,8,43102,na,860,18,48,3190,852,5014,2852,212,2,0,10,42,1816,132,0,0,0,0,3944,66,130,0,0,0,0,0,0,0,0,192,60,8,288,102,52,12,9360,2508,0,18,0,0,0,na,na,9594,2008,430,90,134,158,180,302,2,150,0,0
